timestamp,Latitude,Longitude,ax,ay,az
1708513125.41,10.87589073,106.8015518,-0.97,0.05,12.12
1708513125.56,10.87589073,106.8015518,-0.9,-0.22,8.07
1708513125.64,10.87589073,106.8015518,-2.1,0.26,10.62
1708513125.72,10.87589073,106.8015518,-1.32,-0.54,10.15
1708513125.81,10.87583923,106.8015518,-0.82,-0.13,9.28
1708513126.3,10.87583923,106.8015518,-1.24,-0.13,10.07
1708513126.41,10.87583923,106.8015518,-2.03,-0.15,10.8
1708513126.56,10.87583923,106.8015518,-1.77,0.42,11.08
1708513126.64,10.87583923,106.8015518,-3.24,-0.85,4.72
1708513126.72,10.87583923,106.8015518,-2.18,0.3,12.25
1708513126.81,10.87579632,106.8015594,-1.88,0.76,11.56
1708513127.3,10.87579632,106.8015594,-0.43,-1.73,10.25
1708513127.41,10.87579632,106.8015594,-0.39,-1.76,7.83
1708513127.55,10.87579632,106.8015594,0.93,-0.58,13.07
1708513127.64,10.87579632,106.8015594,-3.01,-1.12,8.94
1708513127.73,10.87579632,106.8015594,-2.9,0.08,10.19
1708513127.81,10.87575245,106.8015518,1.75,0.2,9.13
1708513128.31,10.87575245,106.8015518,-0.61,0.35,12.06
1708513128.4,10.87575245,106.8015518,-3.19,-0.92,3.85
1708513128.56,10.87575245,106.8015518,-3.32,0.31,8.13
1708513128.64,10.87575245,106.8015518,1.38,2.43,11.51
1708513128.72,10.87575245,106.8015518,1.09,0.13,11.74
1708513128.8,10.8757143,106.8015366,0.18,1.02,6.11
1708513129.29,10.8757143,106.8015366,5.15,-0.33,42.94
1708513129.4,10.8757143,106.8015366,1.09,0.19,4.34
1708513129.54,10.8757143,106.8015366,-2.46,-0.56,-3.89
1708513129.63,10.8757143,106.8015366,-0.73,-0.75,6.1
1708513129.71,10.8757143,106.8015366,1.17,1.01,6.5
1708513129.8,10.87567234,106.8015289,-4.8,-0.99,5.76
1708513130.28,10.87567234,106.8015289,-0.33,0.67,7.03
1708513130.4,10.87567234,106.8015289,0.49,-0.24,8.17
1708513130.54,10.87567234,106.8015289,-1.12,0.85,12.39
1708513130.62,10.87567234,106.8015289,0.6,-0.33,8.82
1708513130.7,10.87567234,106.8015289,0.14,-0.02,8.58
1708513130.8,10.87561798,106.8015518,-1.41,0.82,11.21
1708513131.28,10.87561798,106.8015518,-0.32,0.36,10.64
1708513131.4,10.87561798,106.8015518,0.83,-0.09,16.38
1708513131.55,10.87561798,106.8015518,4.39,0.76,16.59
1708513131.63,10.87561798,106.8015518,-0.07,-0.84,6.11
1708513131.71,10.87561798,106.8015518,-4.09,-0.57,-6.46
1708513131.8,10.87557507,106.8015518,-2.45,-0.55,7.26
1708513132.29,10.87557507,106.8015518,-0.42,0.9,17.07
1708513132.39,10.87557507,106.8015518,-0.72,-1.11,6.76
1708513132.54,10.87557507,106.8015518,-0.38,1.33,13.84
1708513132.63,10.87557507,106.8015518,1.03,-0.19,11.92
1708513132.72,10.87557507,106.8015518,-0.14,-1.0,8.11
1708513132.79,10.87553883,106.8015594,-1.41,0.64,12.02
1708513133.3,10.87553883,106.8015594,2.16,-0.14,14.32
1708513133.39,10.87553883,106.8015594,-1.14,0.66,8.68
1708513133.55,10.87553883,106.8015594,-0.74,0.13,10.04
1708513133.63,10.87553883,106.8015594,-0.04,-0.41,10.57
1708513133.71,10.87553883,106.8015594,0.92,-0.55,9.1
1708513133.79,10.87548637,106.8015594,-0.35,-0.14,10.36
1708513134.29,10.87548637,106.8015594,-2.28,-0.32,10.45
1708513134.39,10.87548637,106.8015594,-0.12,-0.75,11.02
1708513134.55,10.87548637,106.8015594,-1.01,0.32,10.28
1708513134.63,10.87548637,106.8015594,-0.97,-0.29,9.35
1708513134.72,10.87548637,106.8015594,-0.85,-0.52,8.77
1708513134.79,10.87540817,106.8015518,-1.13,-1.26,7.99
1708513135.28,10.87540817,106.8015518,0.4,0.0,15.04
1708513135.39,10.87540817,106.8015518,0.5,-0.49,9.02
1708513135.54,10.87540817,106.8015518,-0.1,-0.11,7.68
1708513135.63,10.87540817,106.8015518,0.0,0.31,8.96
1708513135.71,10.87540817,106.8015518,-0.39,-0.98,9.61
1708513135.79,10.87540817,106.8015518,-2.01,-0.67,15.13
1708513135.89,10.87534523,106.8015366,0.02,-0.26,9.1
1708513136.29,10.87534523,106.8015366,0.09,-0.5,9.84
1708513136.38,10.87534523,106.8015366,-0.73,-0.64,7.93
1708513136.55,10.87534523,106.8015366,0.75,0.19,10.65
1708513136.63,10.87534523,106.8015366,0.36,0.07,10.99
1708513136.72,10.87534523,106.8015366,0.49,-0.25,7.96
1708513136.79,10.87534523,106.8015366,-1.08,0.01,11.25
1708513136.89,10.87527847,106.8015289,-1.68,-0.67,8.35
1708513137.29,10.87527847,106.8015289,-0.15,-0.34,10.83
1708513137.38,10.87527847,106.8015289,0.15,-0.06,11.25
1708513137.54,10.87527847,106.8015289,-0.54,0.34,9.12
1708513137.62,10.87527847,106.8015289,-1.2,-0.76,8.6
1708513137.71,10.87527847,106.8015289,1.08,0.25,9.98
1708513137.79,10.87527847,106.8015289,-1.17,0.12,9.48
1708513137.88,10.87520981,106.8015137,-0.05,-1.07,10.7
1708513138.29,10.87520981,106.8015137,-0.16,1.13,10.14
1708513138.38,10.87520981,106.8015137,0.03,0.03,12.8
1708513138.55,10.87520981,106.8015137,-2.44,-0.13,7.42
1708513138.64,10.87520981,106.8015137,1.16,-0.37,9.64
1708513138.71,10.87520981,106.8015137,-1.23,-0.16,11.93
1708513138.8,10.87520981,106.8015137,-0.74,-0.56,9.42
1708513138.89,10.87514496,106.801506,-0.26,-0.24,10.17
1708513139.3,10.87514496,106.801506,-1.79,-0.53,8.19
1708513139.38,10.87514496,106.801506,1.15,0.44,10.1
1708513139.55,10.87514496,106.801506,-2.23,-0.66,8.21
1708513139.63,10.87514496,106.801506,-0.06,0.17,8.61
1708513139.71,10.87514496,106.801506,-0.34,0.32,11.84
1708513139.8,10.87514496,106.801506,-2.23,-0.2,8.53
1708513139.88,10.87507534,106.8015137,0.04,0.33,11.94
1708513140.3,10.87507534,106.8015137,-0.38,-0.11,10.12
1708513140.48,10.87507534,106.8015137,-1.04,0.01,10.21
1708513140.63,10.87507534,106.8015137,0.77,-0.48,8.72
1708513140.7,10.87507534,106.8015137,-1.35,-0.2,11.76
1708513140.79,10.87507534,106.8015137,-1.69,0.01,8.19
1708513140.88,10.87499619,106.801506,-0.19,-0.04,10.18
1708513141.29,10.87499619,106.801506,-0.5,0.06,9.75
1708513141.47,10.87499619,106.801506,0.63,0.23,9.24
1708513141.63,10.87499619,106.801506,-1.64,0.74,8.88
1708513141.7,10.87499619,106.801506,-0.5,-1.0,12.4
1708513141.79,10.87499619,106.801506,0.61,0.45,11.32
1708513141.87,10.87491894,106.801506,1.48,0.22,15.41
1708513142.3,10.87491894,106.801506,-0.58,0.66,12.84
1708513142.47,10.87491894,106.801506,0.67,-0.05,9.54
1708513142.62,10.87491894,106.801506,-1.78,0.22,5.39
1708513142.7,10.87491894,106.801506,-1.96,0.15,10.97
1708513142.8,10.87491894,106.801506,-1.31,-0.49,10.73
1708513142.88,10.8748455,106.8014984,-1.07,0.14,9.21
1708513143.3,10.8748455,106.8014984,-0.22,-0.47,12.46
1708513143.47,10.8748455,106.8014984,-0.97,-0.52,10.2
1708513143.63,10.8748455,106.8014984,-0.64,-0.3,9.43
1708513143.71,10.8748455,106.8014984,1.13,0.17,12.52
1708513143.79,10.8748455,106.8014984,-0.35,-0.27,11.83
1708513143.88,10.87477207,106.8014832,-2.11,0.53,9.88
1708513144.3,10.87477207,106.8014832,-1.5,-0.78,11.04
